,frame,RBD_CA0:ROF,RBD_CA0:DNS,RBD_CA0:RMSD,RBD__2__CH_CA0,CH_CA0:ROF,CH_CA0:DNS,CH_CA0:RMSD,RBD__2__GLY10,GLY10:ROF,GLY10:DNS,GLY10:RMSD,RBD__2__GLY11,GLY11:ROF,GLY11:DNS,GLY11:RMSD,RBD__2__GLY12,GLY12:ROF,GLY12:DNS,GLY12:RMSD,RBD__2__GLY13,GLY13:ROF,GLY13:DNS,GLY13:RMSD,RBD__2__GLY14,GLY14:ROF,GLY14:DNS,GLY14:RMSD,RBD__2__GLY27,GLY27:ROF,GLY27:DNS,GLY27:RMSD,RBD__2__GLY30,GLY30:ROF,GLY30:DNS,GLY30:RMSD,RBD__2__GLY36,GLY36:ROF,GLY36:DNS,GLY36:RMSD,RBD__2__GLY4,GLY4:ROF,GLY4:DNS,GLY4:RMSD,RBD__2__GLY42,GLY42:ROF,GLY42:DNS,GLY42:RMSD,RBD__2__GLY43,GLY43:ROF,GLY43:DNS,GLY43:RMSD,RBD__2__GLY44,GLY44:ROF,GLY44:DNS,GLY44:RMSD,RBD__2__GLY56,GLY56:ROF,GLY56:DNS,GLY56:RMSD,RBD__2__GLY58,GLY58:ROF,GLY58:DNS,GLY58:RMSD,RBD__2__backbone0,backbone0:ROF,backbone0:DNS,backbone0:RMSD
0,frame_0,2.1059818428974597,0.8392798,0.12861824,8.828174676626592,2.437207324268829,0.296462,0.061249595,3.1579711752479667,2.113537049794728,0.5028195,0.15145852,2.312271899167321,2.863583966939832,0.45201358,0.13983548,3.442954244536138,4.529061723652582,0.42347026,0.14952317,3.6665903955253047,2.1419460773540933,0.22826226,0.18104109,3.9173079588138986,3.641141255946238,0.22826226,0.13033205,3.1447306982692194,5.787538388027731,0.6489425,0.18927397,2.127436375238257,3.892189820549964,0.43217972,0.14485943,3.6127198000075946,1.7753105709573131,0.42347026,0.12814792,2.546007635375285,3.5910886788716745,0.7164597,0.17815748,1.8317705949384018,2.0650411553328523,0.42347026,0.10724062,3.6422003805673224,2.9717329864320283,0.45201358,0.28332168,2.9176971766253232,4.071889586799474,0.42347026,0.16706698,3.3072928237786816,4.901879529735148,0.47983825,0.26296863,3.948743222378324,3.192791793732204,0.42347026,0.21553865,4.409721922764111,4.913590246536324,63.39132,0.10314499
1,frame_1,2.103642185872185,0.83825743,0.09456913,8.787867678440994,2.43778651769138,0.29610088,0.07530107,3.1961042275212668,2.1424388365069693,0.502207,0.14494854,2.2775278633571103,2.86731118069066,0.45146298,0.124778375,3.3178429053426126,4.567841385092835,0.42295444,0.14067924,3.538524572513806,2.1137678252539533,0.22798423,0.21174613,3.990874793631068,3.6114602954520265,0.22798423,0.21820441,3.1071390251128332,5.752339798656392,0.648152,0.22313377,2.1192679152694933,3.888869312582519,0.43165326,0.15865572,3.783232025212216,1.7853538386487209,0.42295444,0.2039459,2.595793913502289,3.6454622341995817,0.71558696,0.26421878,1.797380358142003,2.0907634952777125,0.42295444,0.17451148,3.7071000284380227,2.94380052968308,0.45146298,0.34745052,2.925866993225347,4.057143363600914,0.42295444,0.21973827,3.2627906696519653,4.907348129684655,0.4792538,0.3505265,3.964090607550373,3.1992132999620604,0.42295444,0.21078192,4.387363067430287,4.901446297283903,63.314102,0.10907863
2,frame_2,2.1078263340365586,0.8391024,0.15748501,8.770026171139103,2.451859801640096,0.29639935,0.080359764,3.1655378455896774,2.14514650780866,0.50271326,0.21242423,2.253170690877187,2.849814544660736,0.45191807,0.19772494,3.227799582605519,4.570114092310422,0.42338076,0.30018204,3.595136136643866,2.103865803771225,0.22821403,0.29834437,4.086917959926549,3.636744469361104,0.22821403,0.18177535,3.1305789218668534,5.770288657060724,0.6488054,0.33068866,2.100272088561292,3.8903979360191134,0.4320884,0.17266092,3.7467086251689667,1.830970424493449,0.42338076,0.19177659,2.5585655402903673,3.5892170088344573,0.7163083,0.2596412,1.803066541616028,2.1699372311623004,0.42338076,0.28300506,3.6855454996309627,2.9395836408066898,0.45191807,0.37218845,2.962563132413392,4.117678762801466,0.42338076,0.18962017,3.1167746592066496,4.974546291156203,0.47973692,0.45190737,4.007899814552883,3.1340432824441304,0.42338076,0.2241963,4.393290251286931,4.903788054360521,63.37793,0.13006409
3,frame_3,2.119081157235884,0.83818877,0.17990115,8.83440393307138,2.428568300874057,0.2960766,0.073702976,3.1497492393569195,2.1033235593110318,0.5021658,0.20777462,2.2045044786862977,2.899727400358441,0.45142597,0.19109917,3.1810293623534722,4.59723612989561,0.42291975,0.2967979,3.54508256097886,2.11444749455721,0.22796552,0.22409117,4.015993214742,3.575545067624211,0.22796552,0.19846898,3.079481954520275,5.734754023322394,0.6480989,0.28571144,2.0767695785624083,3.881747135182626,0.4316179,0.1678374,3.7182411777187587,1.7948314658312414,0.42291975,0.10458797,2.5892803721729085,3.580691057653602,0.7155283,0.21950515,1.8069738775768558,2.238063951166766,0.42291975,0.24184074,3.595402360635608,2.983847166232602,0.45142597,0.37096798,2.9222922592278424,4.032603025335321,0.42291975,0.23409489,3.0498158358913954,4.995493864997468,0.47921452,0.5546325,4.024270214923239,3.201054336410228,0.42291975,0.30251378,4.424199597091807,4.904224970194245,63.308914,0.13123347
4,frame_4,2.113981275415571,0.8378086,0.19019972,8.83642941419098,2.4177234220280552,0.29594234,0.076016895,3.113931785371277,2.143304302230957,0.5019381,0.3423433,2.2302783067672203,2.8685099568239294,0.4512213,0.17625803,3.233137768496556,4.587640292181908,0.4227279,0.22723499,3.592373165518761,2.1416468910320883,0.22786215,0.2450158,3.9602864927349724,3.524457566878784,0.22786215,0.27689126,3.108038373617625,5.7563532533298805,0.647805,0.24134114,2.1020686093510252,3.871484518582272,0.43142217,0.18314868,3.73425155924065,1.759935981634197,0.4227279,0.13027652,2.578458322429469,3.5709982339848176,0.7152038,0.25674495,1.838523043776438,2.1861885524812004,0.4227279,0.21375255,3.675171606176481,2.918961688581064,0.4512213,0.37695748,2.9219141728268667,4.056193297053026,0.4227279,0.24834044,3.1578182899499163,5.099269981239903,0.47899717,0.6170987,3.972769723961209,3.1103958203387303,0.4227279,0.4515564,4.446843225448231,4.906005471372438,63.2802,0.12816367
5,frame_5,2.1100319249052912,0.83925825,0.17794263,8.810275551566834,2.438022726925712,0.29645443,0.085687056,3.069607027210654,2.176040311462818,0.50280666,0.31158006,2.2302474247157713,2.8598425617786205,0.45200205,0.18276948,3.300891697615206,4.563434299409619,0.4234594,0.24778068,3.5894918746662214,2.141429924880594,0.22825642,0.23280416,3.993528164108165,3.435419913079146,0.22825642,0.28536108,3.1106363636052476,5.765980995559906,0.6489259,0.28833988,2.0923641781588898,3.8478416972057614,0.4321687,0.16182296,3.80112754579656,1.80561747989893,0.4234594,0.16780174,2.4947130424388826,3.605712615482118,0.71644133,0.31714717,1.8688485756873086,2.1268363374115613,0.4234594,0.17616928,3.6959206103402655,2.954069263223756,0.45200205,0.33155692,2.910924384513956,4.0312876847450045,0.4234594,0.22623225,3.1950114660019104,5.202444894514966,0.479826,0.6009711,4.058809495591324,3.252705705410301,0.4234594,0.57505786,4.427656096658796,4.907179128042282,63.389698,0.13244496
6,frame_6,2.124397912850181,0.8383478,0.18669826,8.832422078539288,2.4127236625954147,0.29613283,0.07426073,3.1128486313457273,2.1530200116313893,0.50226116,0.2985003,2.2328016670233963,2.8307234709898053,0.45151168,0.15093146,3.27158371221952,4.487952069062709,0.423,0.21704835,3.523787079282838,2.138168843693509,0.2280088,0.22640873,3.957662457234763,3.437282224070403,0.2280088,0.35203502,3.111262638979806,5.780522936363655,0.6482219,0.21409905,2.122770494693652,3.8447801552038943,0.43169984,0.1850375,3.8298284694247138,1.8014634963659348,0.423,0.17015183,2.5287489275250237,3.623001994901998,0.7156641,0.3464253,1.907537621892097,2.142516318710324,0.423,0.20630954,3.6966905666414105,2.9238632827491347,0.45151168,0.36230558,2.9193425682387084,4.03117663294543,0.423,0.23414703,3.1083184923121236,5.0550349686151375,0.47930548,0.4903297,3.9538782413919713,3.0410863619437647,0.423,0.5836374,4.442166663727544,4.90689140774035,63.32093,0.12825394
7,frame_7,2.122195416136476,0.83852935,0.22274743,8.834349256295146,2.4252291101169874,0.29619694,0.08001671,3.0563319939588474,2.1751072660557096,0.50236994,0.2736304,2.2293438967754593,2.800845448178042,0.45160946,0.13914862,3.332822135837704,4.543307974459592,0.42309162,0.26443323,3.5968014430584536,2.171893336460425,0.22805816,0.30867955,3.9099944029909097,3.4124678636750265,0.22805816,0.4105786,3.1308991376091915,5.774907188171906,0.6483623,0.27741003,2.1043846760258256,3.836038460191882,0.43179333,0.15111838,3.771592357056268,1.7271049490679993,0.42309162,0.23088549,2.521862491532636,3.613077068192145,0.71581906,0.35354316,1.8752298926767594,2.1535569733473685,0.42309162,0.22069794,3.6956261083353494,2.926959444115641,0.45160946,0.42951238,2.89021746094464,4.003835016873018,0.42309162,0.25985226,3.115056416885407,5.042906417202537,0.47940925,0.52430874,3.9783039409185674,2.983380088937029,0.42309162,0.7494454,4.45306599896608,4.907223912102563,63.33464,0.13065009
8,frame_8,2.103401273752212,0.8379514,0.24448052,8.7800297273616,2.4122922365245643,0.29599276,0.07651285,3.1591501716305466,2.17045872231318,0.50202364,0.21575329,2.2294242618668902,2.845189922756683,0.45129818,0.15014887,3.299758695222072,4.554947666046582,0.42279997,0.20930357,3.702433221038964,2.089787663844346,0.227901,0.2834536,3.9107602888108715,3.387636407002356,0.227901,0.3360561,3.111630913428601,5.773395818703177,0.6479154,0.32449445,2.077604341535963,3.872245288215903,0.4314957,0.12941997,3.807343239520248,1.8182238980196288,0.42279997,0.23539896,2.4851129154992786,3.571526499470328,0.7153257,0.39583105,1.757981159800066,2.168038964208486,0.42279997,0.27461797,3.647974139956807,2.918716640568147,0.45129818,0.47253948,2.880955246847545,4.041657619081117,0.42279997,0.22441058,3.1866315089606645,5.052785307001175,0.47907883,0.5432161,3.833188481045866,2.9774724490583013,0.42279997,0.6959355,4.425599257327714,4.902564782098219,63.29099,0.13706581
9,frame_9,2.124078751081187,0.8390466,0.22540085,8.826343357760797,2.432938354486605,0.29637966,0.09044573,3.212713291324178,2.1310659730036896,0.5026798,0.17008081,2.2884743940290146,2.8423216827897675,0.45188802,0.17110938,3.3319802837466668,4.535655041059378,0.4233526,0.2623709,3.6552864185073615,2.1076451434370527,0.22819886,0.28079006,3.9511271690760426,3.4770654760011586,0.22819886,0.39605418,3.1328831201363876,5.806855454659122,0.6487622,0.34091488,2.1526608092812123,3.862035340764055,0.43205968,0.18824033,3.7033730025385636,1.7888729843862474,0.4233526,0.1867355,2.4986009084286893,3.537038497453399,0.7162606,0.41404778,1.8273467632242903,2.2605199118773265,0.4233526,0.28342396,3.7111700192581663,2.943668130237101,0.45188802,0.46474183,2.9086240348910453,4.041772350997459,0.4233526,0.2858884,3.2537427069753857,5.017515845918552,0.479705,0.5646492,3.8641794335069988,2.996883471281074,0.4233526,0.71026325,4.444317271315169,4.905018196786145,63.37371,0.14993826
