,frame,rofgyration,density,rmsd,compute_center_of_mass_x,compute_center_of_mass_y,compute_center_of_mass_z
0,frame_0,5.2393572668097494,160.92099,0.1683112,10.45928565171619,6.524751305955931,6.894345626856733
1,frame_1,5.227330314643082,160.72498,0.16074796,10.446627556864469,6.514309349103219,6.886258268515645
2,frame_2,5.228480307782568,160.88701,0.159647,10.436853145945312,6.517119493292398,6.878761763077586
3,frame_3,5.231573826894915,160.7118,0.16596626,10.436113995965592,6.517855455318571,6.882444549928882
4,frame_4,5.229915690023909,160.63892,0.16017397,10.46447656961369,6.51663711527893,6.896795737751161
5,frame_5,5.232102880752722,160.91689,0.16140492,10.451440796418947,6.514945824712317,6.889252964609433
6,frame_6,5.232569761528426,160.74231,0.16050395,10.442182578992622,6.526204330500857,6.895143547403908
7,frame_7,5.230769554716951,160.77713,0.1613442,10.44669131277322,6.517399121213888,6.895908149809602
8,frame_8,5.230746674185455,160.6663,0.16654381,10.441652406281898,6.518752174168557,6.901898891504448
9,frame_9,5.233662258691155,160.8763,0.16786817,10.44109424717357,6.51974665382151,6.88955551407442
10,frame_10,5.2241204593083665,160.69647,0.16811314,10.43290043958509,6.52965627586921,6.886686330941853
11,frame_11,5.230025544887425,160.80318,0.15800603,10.427563022670661,6.524174322304024,6.885590388947628
12,frame_12,5.236789939946278,160.77031,0.16319191,10.437074030336785,6.526338177774927,6.886842192544672
13,frame_13,5.231993256620829,160.73204,0.1657654,10.435031261856247,6.527390611157809,6.890524545821876
14,frame_14,5.232819544995784,160.82693,0.15911832,10.432227373178934,6.538009820766648,6.878385485243084
15,frame_15,5.235411538665283,160.99297,0.16148989,10.424176873738691,6.533622032285361,6.874014914258799
16,frame_16,5.236515590818863,160.89616,0.16601348,10.429381781988493,6.546875561058275,6.888909791894315
17,frame_17,5.237333891335198,160.73141,0.16820636,10.422838752431854,6.532822125877686,6.879107512922207
18,frame_18,5.239073891996355,160.88284,0.1630718,10.427696989479307,6.5395373590761565,6.87173939576856
19,frame_19,5.232626430026861,161.00429,0.16269884,10.423832676325151,6.536031091326705,6.874289478419656
20,frame_20,5.233100118593619,160.8162,0.15931524,10.426598685056945,6.546808623163187,6.8709978718836755
21,frame_21,5.229761966134089,160.94252,0.16398256,10.42412820981712,6.5436575450898005,6.8730659172993525
22,frame_22,5.228500681616101,160.75256,0.16868335,10.416434941107028,6.542267754347242,6.87228584709107
23,frame_23,5.216690213726088,160.71684,0.16021065,10.420393364020988,6.529674848251413,6.8627197664772215
24,frame_24,5.220194728498962,160.91107,0.1698988,10.428038860801909,6.543103694553955,6.862932046297409
25,frame_25,5.22072057812549,160.82208,0.16741228,10.429270605366387,6.523450801769862,6.864483439416491
26,frame_26,5.240590944130788,160.68216,0.1647337,10.428299951303526,6.51774892915955,6.879382920587679
